,City,Cloudiness %,Country,Date,Humidity %,Latitude,Longitude,Max Temp (F),Wind Speed (mph)
268,Lima,90,PE,1575768394,88,-12.06,-77.04,69.8,12.75
269,Panama City,90,US,1575768674,77,30.16,-85.65,64.4,6.93
270,Zvishavane,100,ZW,1575768675,90,-20.32,30.05,65.61,2.53
271,Muros,90,ES,1575768676,100,42.77,-9.06,57.99,5.82
272,Dafeng,0,CN,1575768678,44,33.2,120.46,48.13,6.06
273,Bandarbeyla,1,SO,1575768679,82,9.49,50.81,79.88,12.26
274,Sampit,90,ID,1575768680,81,-2.54,112.95,83.34,2.75
275,Vestmanna,100,FO,1575768681,94,62.16,-7.17,37.4,41.38
276,Denpasar,20,ID,1575768682,74,-8.65,115.22,86.0,4.7
277,Kanniyakumari,0,IN,1575768605,76,8.08,77.57,80.13,27.45
278,Bonavista,93,CA,1575768684,88,48.65,-53.11,30.0,11.99
279,Celestun,0,MX,1575768685,72,20.87,-90.4,77.2,11.01
280,Saint George,75,GR,1575768532,93,39.45,22.34,48.2,1.07
281,Agirish,90,RU,1575768688,97,61.92,63.02,16.25,4.59
282,Christchurch,67,NZ,1575768689,37,-43.53,172.64,72.0,16.11
283,Udachnyy,90,RU,1575768690,83,66.42,112.4,-11.2,2.24
284,Fayaoue,100,NC,1575768691,89,-20.65,166.53,76.73,4.45
285,Jumla,0,NP,1575768692,11,29.28,82.18,40.86,2.06
286,Bambous Virieux,40,MU,1575768693,88,-20.34,57.76,75.0,6.93
287,Ingham,15,AU,1575768694,19,-18.65,146.16,98.96,9.44
288,La Ronge,5,CA,1575768695,76,55.1,-105.3,-5.8,9.17
289,Slave Lake,75,CA,1575768696,84,55.28,-114.77,5.0,5.66
290,Manadhoo,100,MV,1575768698,80,5.77,73.38,83.01,20.24
291,Yerbogachen,100,RU,1575768699,94,61.28,108.01,11.84,7.63
292,Nelson Bay,40,AU,1575768451,51,-32.72,152.14,80.6,14.99
293,Pio XII,23,BR,1575768701,89,-3.89,-45.17,74.75,3.87
294,Hamilton,20,CA,1575768518,79,43.26,-79.87,28.99,3.36
295,Gigmoto,93,PH,1575768703,81,13.78,124.39,80.6,24.63
296,Ormoz,38,SI,1575768704,92,46.41,16.15,30.99,1.12
297,Tazovskiy,37,RU,1575768706,96,67.47,78.7,-9.96,9.33
298,Noumea,96,NC,1575768707,49,-22.28,166.46,93.2,14.99
299,Samarai,23,PG,1575768708,63,-10.62,150.67,84.69,8.61
300,Goreloye,100,RU,1575768709,90,52.92,41.5,36.64,15.35
301,Acapulco,5,MX,1575768452,78,16.86,-99.88,80.6,8.05
302,Yulara,0,AU,1575768474,4,-25.24,130.99,104.0,17.22
303,Rocha,56,UY,1575768712,76,-34.48,-54.34,49.57,4.09
304,Batagay,0,RU,1575768713,89,67.65,134.64,-35.72,1.23
305,Manaira,75,BR,1575768714,74,-7.71,-38.15,75.29,10.47
306,Kaitangata,100,NZ,1575768419,70,-46.28,169.85,55.0,8.01
307,Karratha,0,AU,1575768717,46,-20.74,116.85,89.02,9.44
308,Nileshwar,20,IN,1575768718,94,12.25,75.1,75.2,8.05
309,Kutum,0,SD,1575768719,35,14.2,24.66,55.69,6.98
310,Seguin,1,US,1575768720,62,29.57,-97.96,62.01,4.7
311,Raciu,47,RO,1575768721,80,44.82,25.44,42.01,4.7
312,Marsh Harbour,0,BS,1575768722,69,26.54,-77.06,73.45,13.87
313,Blackwater,100,GB,1575768723,81,51.33,-0.78,53.01,23.04
314,Cochrane,8,CL,1575768612,92,-47.25,-72.57,38.93,5.59
315,Cayenne,0,GF,1575768726,94,4.94,-52.33,75.2,3.27
316,Meulaboh,95,ID,1575768470,82,4.14,96.13,80.01,13.58
317,Shorkot,0,PK,1575768728,27,30.83,72.08,58.64,3.09
318,Broken Hill,0,AU,1575768729,10,-31.97,141.45,87.8,12.75
319,Honningsvag,98,NO,1575768730,89,70.98,25.97,31.53,7.92
320,West Bay,90,CA,1575768731,93,49.34,-123.21,48.99,5.82
321,Toledo,0,ES,1575768732,97,39.86,-4.02,46.0,4.03
322,Praia,100,BR,1575768733,88,-20.25,-43.81,68.0,5.82
323,Chokurdakh,0,RU,1575768735,74,70.62,147.9,-27.02,4.14
324,Santa Cruz de Tenerife,75,ES,1575768736,87,28.47,-16.25,64.99,3.36
325,Cervia,40,IT,1575768737,86,44.26,12.35,46.0,4.7
326,Meliti,37,GR,1575768738,87,40.83,21.58,45.0,5.82
327,Camacha,40,PT,1575768739,82,33.08,-16.33,64.4,8.05
328,Kaele,57,CM,1575768740,20,10.11,14.45,70.56,10.11
329,Saint-Augustin,5,CA,1575768742,78,45.63,-73.98,21.0,6.93
330,Kuito,100,AO,1575768743,96,-12.38,16.94,59.29,8.28
331,Huizhou,86,CN,1575768744,33,23.11,114.41,59.41,11.72
332,Baiyin,0,CN,1575768745,78,36.55,104.13,10.4,4.47
333,Lukovetskiy,90,RU,1575768746,100,64.29,41.92,33.8,11.18
334,Phalombe,74,MW,1575768747,77,-15.81,35.65,69.06,4.32
335,Ouallam,63,NE,1575768748,12,14.32,2.08,71.98,9.53
336,Hasaki,20,JP,1575768749,61,35.73,140.83,52.0,5.82
337,Keighley,40,GB,1575768751,93,53.87,-1.9,52.0,25.28
338,Maues,91,BR,1575768752,92,-3.38,-57.72,75.56,2.91
339,Camara de Lobos,40,PT,1575768753,72,32.63,-16.97,64.4,10.29
340,Mayumba,36,GA,1575768754,82,-3.44,10.65,78.89,11.77
341,Leiyang,0,CN,1575768755,34,26.42,112.85,58.42,1.36
342,Tabuk,93,PH,1575768756,86,17.41,121.44,70.7,15.66
343,Maceio,29,BR,1575768757,83,-9.67,-35.74,78.8,11.41
344,Kloulklubed,75,PW,1575768758,83,7.04,134.26,82.4,6.93
345,Auki,45,NG,1575768760,20,12.18,6.51,67.15,9.84
346,Chandur Bazar,0,IN,1575768761,44,21.24,77.75,66.09,4.56
347,Pacific Grove,75,US,1575768762,77,36.62,-121.92,62.6,6.93
348,Conde,69,BR,1575768763,84,-11.81,-37.61,80.49,19.86
349,Aranos,3,NA,1575768764,51,-24.14,19.11,68.61,6.46
350,Ixtapa,90,MX,1575768765,78,20.71,-105.21,80.6,3.11
351,Trairi,46,BR,1575768766,84,-3.28,-39.27,74.75,2.98
352,Galway,40,IE,1575768767,87,53.27,-9.05,48.2,26.4
353,Surt,100,LY,1575768768,37,31.21,16.59,63.54,10.04
354,Evensk,100,RU,1575768769,65,61.92,159.24,3.16,11.92
355,Bismarck,1,US,1575768670,92,46.81,-100.78,39.0,9.48
356,Birao,0,CF,1575768772,24,10.3,22.78,64.94,9.71
357,Amapa,75,HN,1575768773,78,15.09,-87.97,78.8,8.05
358,La Sarre,93,CA,1575768774,94,48.8,-79.2,14.59,9.78
359,Husavik,100,CA,1575768775,95,50.56,-96.99,28.0,7.0
360,Srednekolymsk,78,RU,1575768776,100,67.46,153.71,-29.16,3.49
361,Cap Malheureux,40,MU,1575768777,88,-19.98,57.61,75.0,6.93
362,Grasse,40,FR,1575768779,93,43.66,6.92,48.99,3.36
363,Ormara,33,PK,1575768780,45,25.21,64.64,76.64,9.22
364,Nahavand,100,IR,1575768781,94,34.19,48.37,29.26,5.14
365,Huarmey,100,PE,1575768782,86,-10.07,-78.15,64.54,2.35
366,Katsuura,20,JP,1575768564,64,33.93,134.5,51.8,10.29
367,Upington,0,ZA,1575768784,27,-28.46,21.24,75.2,8.05
368,Dauriya,35,RU,1575768785,89,49.93,116.85,2.19,1.59
369,Santander Jimenez,12,MX,1575768787,83,24.22,-98.47,63.57,5.86
370,Beipiao,48,CN,1575768788,60,41.8,120.76,25.81,7.27
371,Kaligutan,40,PH,1575768789,70,7.7,125.81,86.0,6.93
372,Xuddur,97,SO,1575768790,81,4.12,43.89,73.6,9.37
373,Hosdurga,68,IN,1575768791,83,13.8,76.29,69.76,10.09
374,Kandrian,86,PG,1575768792,52,-6.21,149.55,89.22,8.86
375,Urengoy,51,RU,1575768793,98,65.96,78.37,-12.35,9.28
376,Verkhoyansk,0,RU,1575768794,86,67.55,133.39,-37.93,0.49
377,Bathsheba,40,BB,1575768796,74,13.22,-59.52,80.6,14.99
378,Sibolga,90,ID,1575768776,82,1.74,98.78,79.75,2.71
379,Esperance,90,AU,1575768798,55,-33.86,121.89,66.2,18.34
380,Bechyne,100,CZ,1575768799,84,49.3,14.47,44.01,1.01
381,Derzhavinsk,100,KZ,1575768800,96,51.1,66.31,26.64,18.7
382,Clyde River,1,CA,1575768801,75,70.47,-68.59,-20.2,5.82
383,Katherine,0,AU,1575768802,41,-14.47,132.26,95.0,11.41
384,Lukiv,98,UA,1575768803,88,51.05,25.4,39.0,14.09
385,Sabang,5,PH,1575768804,74,13.8,121.11,81.0,14.0
386,Kavieng,70,PG,1575768806,64,-2.57,150.8,85.19,2.21
387,Alice Springs,0,AU,1575768686,7,-23.7,133.88,102.2,12.75
388,Bani,0,YE,1575768808,76,16.02,42.93,78.15,4.61
389,Beringovskiy,100,RU,1575768809,89,63.05,179.32,15.93,39.03
390,Port Elizabeth,1,US,1575768810,74,39.31,-74.98,34.0,4.5
391,Sandane,100,NO,1575768811,74,61.77,6.22,37.4,18.34
392,Penzance,100,GB,1575768813,100,50.12,-5.53,55.0,33.33
393,Carbonia,40,IT,1575768814,81,39.17,8.53,48.2,5.82
394,Liverpool,75,GB,1575768773,100,53.41,-2.98,55.0,20.8
395,Voh,100,NC,1575768816,85,-20.95,164.69,78.46,13.06
396,Semey,75,KZ,1575768817,74,50.41,80.25,28.4,15.66
397,Poitiers,90,FR,1575768819,100,46.58,0.34,53.01,9.17
398,Atar,70,MR,1575768820,47,20.52,-13.05,58.68,9.84
399,San Vicente,75,EC,1575768821,88,-0.59,-80.41,77.0,4.7
400,Port Moresby,20,PG,1575768822,62,-9.47,147.16,87.8,6.93
401,Vestmannaeyjar,100,IS,1575768823,74,63.44,-20.27,28.78,12.57
402,Norman Wells,5,CA,1575768824,74,65.28,-126.83,-23.8,3.36
403,Ahipara,100,NZ,1575768825,90,-35.17,173.16,80.01,20.54
404,Lazaro Cardenas,20,MX,1575768826,42,28.39,-105.62,66.2,4.7
405,Los Llanos de Aridane,20,ES,1575768828,68,28.66,-17.92,68.0,17.22
406,Freeport,20,BS,1575768681,77,26.54,-78.7,69.8,1.12
407,Walvis Bay,5,NA,1575768830,82,-22.95,14.51,68.0,3.36
408,Necochea,70,AR,1575768831,22,-38.55,-58.74,66.99,4.0
409,Houma,0,CN,1575768832,44,35.63,111.36,42.13,6.58
410,Banjar,76,ID,1575768833,58,-7.37,108.54,88.81,2.53
411,Waingapu,0,ID,1575768834,74,-9.65,120.26,83.91,5.84
412,Port Hardy,90,CA,1575768835,100,50.7,-127.42,44.6,11.41
413,Labuhan,100,ID,1575768836,78,-2.54,115.51,84.42,1.9
414,Awbari,100,LY,1575768838,28,26.59,12.77,60.24,10.98
415,Neka,75,IR,1575768839,93,36.65,53.3,46.4,2.24
416,Kununurra,0,AU,1575768840,50,-15.77,128.74,96.8,12.75
417,Nossa Senhora das Dores,40,BR,1575768841,83,-10.49,-37.19,80.6,13.87
418,Ukiah,90,US,1575768842,82,39.15,-123.21,57.2,6.93
419,Aitape,100,PG,1575768843,68,-3.15,142.36,83.01,2.8
420,Ombessa,89,CM,1575768844,88,4.6,11.26,71.98,1.81
421,Crotone,13,IT,1575768845,69,39.09,17.12,54.0,3.38
422,Ulaangom,100,MN,1575768847,87,49.98,92.07,6.4,3.24
423,Zhangjiakou,0,CN,1575768848,65,40.77,114.88,21.65,2.24
424,Balkanabat,74,TM,1575768849,59,39.51,54.36,43.16,17.43
425,Point Pedro,29,LK,1575768850,73,9.82,80.23,80.83,20.15
426,Pierre,1,US,1575768602,74,44.37,-100.35,39.99,8.05
427,Kenai,90,US,1575768852,80,60.55,-151.26,39.2,13.87
428,Kulhudhuffushi,100,MV,1575768638,80,6.62,73.07,83.16,18.3
429,Dabat,0,ET,1575768854,71,12.98,37.77,53.56,1.03
430,Longyearbyen,20,NO,1575768856,64,78.22,15.63,1.4,12.75
431,Coihaique,100,CL,1575768857,58,-45.58,-72.07,57.2,3.36
432,Minusio,0,CH,1575768858,100,46.18,8.81,37.99,4.05
433,Aksu,90,KZ,1575768860,91,52.04,76.93,32.0,15.66
434,Forbes,0,AU,1575768861,11,-33.38,148.01,93.25,3.31
435,Honiara,75,SB,1575768862,83,-9.43,159.96,84.2,6.93
436,Boulder City,20,US,1575768646,67,35.98,-114.83,57.99,8.05
437,Humboldt,76,CA,1575768864,89,52.21,-105.12,3.67,8.5
438,Odessa,1,US,1575768865,47,31.85,-102.37,59.0,6.93
439,Sidi Ali,0,DZ,1575768866,93,36.1,0.42,50.86,2.66
440,Kotelnich,100,RU,1575768867,89,58.31,48.34,29.32,15.9
441,Colomiers,90,FR,1575768869,87,43.61,1.33,50.0,3.36
442,Kayankulam,43,IN,1575768870,71,9.18,76.5,79.83,13.94
443,Tautira,75,PF,1575768871,70,-17.73,-149.15,86.0,12.75
444,Creel,3,MX,1575768872,78,27.75,-107.63,47.46,2.53
445,Palu,68,ID,1575768873,85,-0.9,119.87,77.41,3.02
446,Miri,93,NG,1575768874,26,10.31,9.75,62.83,2.98
447,Champerico,40,MX,1575768876,69,16.38,-93.6,75.2,11.41
448,Otavi,87,NA,1575768877,64,-19.64,17.34,66.4,7.63
449,Berlevag,100,NO,1575768878,87,70.86,29.09,30.94,1.03
450,Anamur,40,TR,1575768879,87,36.08,32.84,46.4,6.93
451,Rapu-Rapu,49,PH,1575768880,84,13.19,124.13,79.05,12.75
452,Ashtabula,1,US,1575768666,74,41.87,-80.79,30.0,4.7
453,Omsukchan,100,RU,1575768883,99,62.53,155.8,-21.08,6.08
454,Musiri,40,IN,1575768884,94,10.95,78.44,73.4,5.41
455,Viedma,0,AR,1575768885,54,-40.81,-62.99,60.15,4.12
456,Tateyama,75,JP,1575768886,93,36.66,137.31,46.0,2.24
457,Saint-Joseph,40,FR,1575768887,93,43.56,6.97,48.99,3.36
458,Tokur,0,RU,1575768888,88,53.13,132.9,-18.13,0.98
459,San Carlos de Bariloche,20,AR,1575768890,51,-41.13,-71.31,59.0,8.05
460,Comodoro Rivadavia,0,AR,1575768680,27,-45.87,-67.48,75.2,12.75
461,Touros,20,BR,1575768637,78,-5.2,-35.46,80.6,8.05
462,Lang Son,70,VN,1575768731,34,21.83,106.73,59.92,4.14
463,Saint-Pierre,90,FR,1575768894,93,48.95,4.24,48.99,16.11
464,Kalaiya,0,NP,1575768895,48,27.03,85.0,66.47,0.94
465,Saint-Francois,90,FR,1575768896,93,46.42,3.91,46.4,4.7
466,Sumbe,58,AO,1575768898,86,-11.2,13.84,73.17,0.98
467,Ballina,80,IE,1575768899,85,54.11,-9.15,48.0,13.0
468,Valky,90,UA,1575768900,86,49.83,35.6,39.2,11.18
469,Pontianak,21,ID,1575768901,60,-0.02,109.34,90.14,1.45
470,Padang,92,ID,1575768902,70,-0.92,100.36,77.81,4.16
471,Moranbah,0,AU,1575768903,15,-22.0,148.04,99.19,8.46
472,Sola,100,TZ,1575768905,81,-3.17,33.8,66.7,2.39
473,Alofi,8,NU,1575768906,66,-19.06,-169.92,84.2,18.34
474,Mount Gambier,100,AU,1575768907,31,-37.83,140.78,77.0,10.29
475,Talara,87,PE,1575768908,89,-4.58,-81.27,70.32,7.29
476,Xai-Xai,100,MZ,1575768909,94,-25.04,33.64,72.05,3.22
477,Kilinochchi,70,LK,1575768910,74,9.4,80.4,80.56,15.52
478,Kaohsiung,20,TW,1575768754,100,22.62,120.31,66.0,4.7
479,Mayenne,90,FR,1575768615,93,48.3,-0.62,50.0,11.41
480,Brooks,100,CA,1575768914,93,50.57,-111.89,18.0,9.55
481,Zhanakorgan,0,KZ,1575768915,69,43.91,67.25,33.31,6.17
482,Codrington,33,AU,1575768916,48,-28.95,153.24,84.2,9.17
483,Qujing,0,CN,1575768917,45,25.49,103.8,45.81,2.77
484,Terrasini,63,IT,1575768918,71,38.15,13.08,55.99,4.7
485,Laguna,40,BZ,1575768920,94,16.17,-88.94,75.2,1.59
486,Krasnaya Gora,90,RU,1575768921,80,53.01,31.6,35.6,13.42
487,Vanimo,100,PG,1575768922,72,-2.67,141.3,83.08,5.93
488,Gamba,0,CN,1575768923,24,28.28,88.52,22.93,2.53
489,Samoded,100,RU,1575768924,97,63.61,40.52,36.12,8.5
490,Bannu,0,PK,1575768925,24,32.99,70.6,53.91,1.63
491,Luanda,20,AO,1575768728,78,-8.83,13.24,78.8,6.93
492,Kuala Terengganu,40,MY,1575768928,74,5.33,103.14,82.4,12.75
493,Dalby,0,AU,1575768929,45,-27.18,151.26,86.0,14.99
494,Lobito,100,AO,1575768930,76,-12.35,13.55,74.98,2.35
495,Yakeshi,0,CN,1575768931,91,49.28,120.73,1.24,3.94
496,Igdir,90,IR,1575768932,100,37.52,45.24,33.8,4.7
497,Soverato,40,IT,1575768933,87,38.69,16.55,59.0,8.05
498,Solnechnyy,0,RU,1575768934,75,50.72,136.64,-3.8,3.44
499,Huinan,0,CN,1575768935,73,42.68,126.04,21.83,6.78
500,Morant Bay,20,JM,1575768936,83,17.88,-76.41,80.6,6.93
501,Luby,75,CZ,1575768938,93,50.25,12.41,43.0,8.05
502,Nombre de Dios,5,MX,1575768939,19,23.85,-104.24,68.0,3.36
503,Namatanai,41,PG,1575768940,66,-3.66,152.44,85.08,2.01
504,Phan Thiet,0,VN,1575768941,54,10.93,108.1,80.04,1.95
505,Petropavlovsk-Kamchatskiy,99,RU,1575768942,66,53.05,158.65,12.2,8.95
506,Kamenka,41,MD,1575768943,87,48.03,28.7,30.99,4.34
507,Puerto del Rosario,75,ES,1575768944,77,28.5,-13.86,66.2,19.46
508,Sri Aman,75,MY,1575768945,88,1.24,111.46,80.6,1.72
509,Yenagoa,32,NG,1575768946,94,4.92,6.26,75.56,2.91
510,Abu Dhabi,96,AE,1575768939,78,24.47,54.37,71.6,2.24
511,Tecoanapa,5,MX,1575768949,78,16.99,-99.26,80.6,8.05
512,Zigong,94,CN,1575768950,57,29.34,104.78,57.47,1.59
513,Puerto Morazan,25,NI,1575768951,64,12.85,-87.17,78.03,5.26
514,Jalu,66,LY,1575768952,85,29.03,21.55,53.87,5.01
515,Pangody,64,RU,1575768953,99,65.85,74.49,-10.89,9.89
516,Foz,100,ES,1575768954,1,43.57,-7.26,59.0,1.99
517,Corinto,75,CO,1575768955,73,3.17,-76.26,71.6,4.7
518,Victoria,75,BN,1575768913,83,5.28,115.24,82.4,3.36
519,Hwange,47,ZW,1575768958,83,-18.35,26.5,70.65,1.52
520,Ayan,99,IR,1575768959,98,38.23,44.7,23.59,1.45
521,Devonport,76,AU,1575768960,49,-41.18,146.36,70.0,7.0
522,Talaya,75,RU,1575768961,86,55.79,84.89,30.2,13.42
523,Guerrero Negro,83,MX,1575768962,48,27.97,-114.04,69.96,7.31
524,Acari,16,BR,1575768963,93,-6.44,-36.64,70.38,8.61
525,Pachino,33,IT,1575768965,87,36.72,15.09,53.01,1.12
526,Tyniste nad Orlici,98,CZ,1575768966,70,50.15,16.08,44.6,12.75
527,Colares,20,PT,1575768967,93,38.8,-9.45,55.99,2.24
528,Conselheiro Pena,100,BR,1575768968,92,-19.17,-41.47,68.25,4.12
529,Zhanaozen,0,KZ,1575768969,39,43.35,52.85,32.34,13.85
530,Pag,40,HR,1575768970,93,44.45,15.06,42.8,2.24
531,Santa Lucia,61,IT,1575768971,93,41.98,12.66,55.4,3.36
532,Egvekinot,50,RU,1575768972,92,66.32,-179.17,-4.56,25.75
533,Jeremie,71,HT,1575768973,94,18.65,-74.12,70.97,5.01
534,Natal,20,BR,1575768820,78,-5.81,-35.21,80.6,5.82
535,Taft,66,PH,1575768976,82,11.9,125.42,82.24,10.58
536,Dedza,37,MW,1575768977,78,-14.38,34.33,66.31,2.93
